dance_id,dance_song_name,dance_artist,dance_song_youtube_id,dance_name,dance_counts,dance_wall_count,dance_starting_foot,dance_instructions_youtube_id,dance_move_sheet_link,dance_author_name,dance_is_special,dance_bpm,dance_duration,user_id
137,"Heartache On The Dance Floor","Jon Pardi",https://www.youtube.com/watch?v=WktNgh7FiAY,"Heartache On The Dance Floor",32,2,Left,https://www.youtube.com/watch?v=UW72tybrFxA,,"Kirk Gamble",False,0,0,0
114,"Hide The Wine Line","Carly Pearce",https://www.youtube.com/watch?v=TF0CN4msWRk,"Hide The Wine Line",32,4,Left,https://www.youtube.com/watch?v=E1QJ82Arkuw,https://www.copperknob.co.uk/stepsheets/hide-the-wine-ID122708.aspx,"Michele Burton & Michael Barr",False,0,0,0
110,Homegrown,"Zac Brown Band",https://www.youtube.com/watch?v=ELxg75vHuHg,Homegrown,32,4,Left,https://www.youtube.com/watch?v=QhetuSuQUYw,https://www.copperknob.co.uk/stepsheets/homegrown-ID102808.aspx,"Rachael McEnaney",False,0,0,0
39,"Honey, I'm Good","Andy Grammer",https://www.youtube.com/watch?v=8ejF8Qv6VZk,"Honey, I'm Good",32,2,Left,"https://www.youtube.com/watch?v=yZkOGl22RrU ",https://www.copperknob.co.uk/stepsheets/honey-im-good-ID102423.aspx,"Donna Manning",False,0,0,0
118,"Honky Tonk Highway","Luke Combs",https://www.youtube.com/watch?v=VQeIcpmeSN0,"Honky Tonk Highway",32,4,Left,https://www.youtube.com/watch?v=uq1pe4x1geg,https://www.copperknob.co.uk/stepsheets/honky-tonk-highway-ID119341.aspx,"Kelly Cavallaro",False,0,0,0
117,"Honky Tonk Twist","Scooter Lee",https://www.youtube.com/watch?v=kkjvhQ71SIw,"Honky Tonk Twist",64,4,Left,https://www.youtube.com/watch?v=mY4TafSW09Y,,,False,0,0,0
40,"Husbands and Wives","Brooks & Dunn",https://www.youtube.com/watch?v=qm3YbEbyBI4,"Husbands and Wives Waltz",48,4,Right,https://www.youtube.com/watch?v=g2QeP9AkPO0,,,False,0,0,0
32,"I Feel Good","Thomas Rhett",https://www.youtube.com/watch?v=U5TqIdff_DQ,"Feel Good",32,2,Right,https://www.youtube.com/watch?v=JuVN4Hol7Ts,http://www.copperknob.co.uk/stepsheets/feel-good-ID108516.aspx,"Raquel Williams",False,0,0,0
174,"I Got You","Anders Sohn",https://www.youtube.com/watch?v=U7wY6vjVBhA,"I Got You",32,4,Left,https://www.youtube.com/watch?v=CGkTLHxdzbY,https://www.copperknob.co.uk/stepsheets/i-got-you-ID148935.aspx,"Darren Bailey & Fred Whitehouse",False,0,0,0
160,"I Just Want To Dance With You","George Strait",https://www.youtube.com/watch?v=HxxhNAyj3QQ,"I Just Want To Dance With You",32,4,Left,,,,False,0,0,0
125,"I Know You Want Me",Pitbull,,"Uno Dos Tres",32,4,Left,https://www.youtube.com/watch?v=DLlMvn6Gv_s,https://www.copperknob.co.uk/stepsheets/13-mwz-un-dos-tres-ID70274.aspx,"Sherry McClure",False,0,0,0
76,"I Love This Life",LOCASH,https://www.youtube.com/watch?v=cd1HS2Yf7Yw,"I Love This Life",32,4,Left,https://www.youtube.com/watch?v=9qgvlBPsB4w,https://www.copperknob.co.uk/stepsheets/i-love-this-life-ID129738.aspx,"Michelle Risley",False,0,0,0
113,"I Play Chicken With The Train","Cowboy Troy",https://www.youtube.com/watch?v=NUPK9z59yUc,"I Play Chicken With The Train",40,2,Left,https://www.youtube.com/watch?v=li9YJBf1nBM,,,False,0,0,0
112,"I Was on a Boat That Day","Old Dominion",https://www.youtube.com/watch?v=nr5dMwKaLag,"I Was on a Boat That Day",48,4,Left,https://www.youtube.com/watch?v=cmyecMTT-Q0&t,https://www.copperknob.co.uk/stepsheets/i-was-on-a-boat-that-day-ID151633.aspx,"Laurent Chalon",False,0,0,0
139,"If Jesus Loves Me","Saint Lanvain",https://www.youtube.com/watch?v=cUeJwlr5MOI,"Groovy Love",32,4,Left,https://www.youtube.com/watch?v=usPu7OsGyPo,https://www.copperknob.co.uk/stepsheets/groovy-love-ID127139.aspx,"Fred Whitehouse, Daniel Trepat, & Jonas Dahlgren",False,0,0,0
41,"If My Heart Had Wings","Faith Hill",https://www.youtube.com/watch?v=sFeD1sHuA-Q,"If My Heart Had Wings",40,4,Left,https://www.youtube.com/watch?v=beZ3gOON0Ag,,,False,0,0,0
159,"If You're Going Through Hell (Before The Devil Even Knows)","Rodney Atkins",https://www.youtube.com/watch?v=l50L4GYhpLc,"If You're Going Through Hell (Before The Devil Even Knows)",32,2,Left,https://www.youtube.com/watch?v=n9UFX4VsVfs,https://www.copperknob.co.uk/stepsheets/2-hell-and-back-ID70695.aspx,"Rob Fowler & Kate Sala",False,0,0,0
42,"Jail House Rock","Elvis Presley",https://www.youtube.com/watch?v=PpsUOOfb-vE,"Jail House Rock",32,4,Left,,,,False,0,0,0
44,"Kick The Dust Up","Luke Bryan ",https://www.youtube.com/watch?v=Gz2oHRD2pF4,"Kick The Dust Up",48,4,Left,https://www.youtube.com/watch?v=S39fBgd9cxY,https://www.copperknob.co.uk/stepsheets/kick-it-up-ID104901.aspx,"Lisa Bodnar",False,0,0,0
172,"Kiss That Girl Goodbye","Aaron Watson",https://www.youtube.com/watch?v=YAjZyIjzZZ8,"Kiss That Girl Goodbye",56,2,Left,https://www.youtube.com/watch?v=Q_vh72OefWs,https://www.copperknob.co.uk/stepsheets/kiss-that-girl-goodbye-ID130750.aspx,"Roy Verdonk & Sebastiaan Holtland",False,0,0,0
176,"Knockin' Boots","Luke Bryan",https://www.youtube.com/watch?v=DD6nSJD9HrU,"Knockin' Boots",32,4,Left,https://www.youtube.com/watch?v=Ko052M74nXk,https://www.copperknob.co.uk/stepsheets/knockin-boots-ID132415.aspx,"Hana Ries",False,0,0,0
177,Lit,"Trace Adkins",https://www.youtube.com/watch?v=AbeViUmwIs0,"A Little Bit Lit",24,4,Left,https://www.youtube.com/watch?v=mOJNH_8ojHY,https://www.copperknob.co.uk/stepsheets/a-little-bit-lit-ID119530.aspx,"Rob Fowler",False,0,0,0
45,"Little Red Wagon ","Miranda Lambert",https://www.youtube.com/watch?v=Q-T7X63pgx4,"Little Red Wagon ",64,4,Left,https://www.youtube.com/watch?v=ib-_Wtr6lAY,http://www.copperknob.co.uk/stepsheets/little-red-wagon-ID98896.aspx,"Rob Fowler",False,0,0,0
46,"Lonely Drum","Aaron Goodvin",https://www.youtube.com/watch?v=fERLJoAvd5k,"Lonely Drum",32,4,Left,https://www.youtube.com/watch?v=VhzTAeHoH18,http://www.copperknob.co.uk/stepsheets/lonely-drum-ID119005.aspxa,"Darren Mitchell",False,0,0,0
47,"Lose My Mind","Brett Eldredge",https://www.youtube.com/watch?v=eoC80eqQv1c,"Lose My Mind",40,4,Left,https://www.youtube.com/watch?v=ta-XMOyiINs,http://www.copperknob.co.uk/stepsheets/lose-my-mind-ID104940.aspx,"Bobbey Willson",False,0,0,0
107,"Love's Gonna Make It Alright","George Strait",https://www.youtube.com/watch?v=yxE2eTFRplU,"Love's Gonna Make It Alright",32,4,Left,https://www.youtube.com/watch?v=qFEfqT_AjkI,https://www.copperknob.co.uk/stepsheets/loves-gonna-make-it-ID86206.aspx,"Dan Albro",False,0,0,0
178,"Lovin' On You","Luke Combs",https://www.youtube.com/watch?v=CbAzHHMfI40,"Lovin' On You",32,2,Left,https://www.youtube.com/watch?v=5Drn1AJFDcI,https://www.copperknob.co.uk/stepsheets/lovin-on-you-ID145489.aspx,"Philip Victor Ongert & Christian Summerfruit",False,0,0,0
130,"Make It Sweet","Old Dominion",https://www.youtube.com/watch?v=9jYKOtPhtx8,"Make It Sweet",32,4,Left,https://www.youtube.com/watch?v=LkyK_VLSMg8,https://www.copperknob.co.uk/stepsheets/make-it-sweet-ID129353.aspx,"Rachael McEnaney",False,0,0,0
48,"Mama's Broken Heart","Miranda Lambert",https://www.youtube.com/watch?v=TObdVCAygpc,"Mama's Broken Heart",32,4,Left,,https://www.copperknob.co.uk/stepsheets/hide-your-crazy-ID91940.aspx,"Carol Cotherman",False,0,0,0
179,Mandy,Mandy,https://www.youtube.com/watch?v=2k2BgsnrQro,Mandy,,0,Left,https://www.youtube.com/watch?v=2k2BgsnrQro,,,False,0,0,0
182,Matt,Matt,https://www.youtube.com/watch?v=Zu7Mu3wRcmw,,1,1,Left,https://www.youtube.com/watch?v=Zu7Mu3wRcmw,https://www.youtube.com/watch?v=Zu7Mu3wRcmw,Matt,False,0,0,0
49,"Men in Black","Will Smith",https://www.youtube.com/watch?v=RBk98onAGF8,"Men in Black",32,4,Left,https://www.youtube.com/watch?v=scYwptr1Ui0,https://www.copperknob.co.uk/stepsheets/mib-ID30601.aspx,"James O. Kellerman",False,0,0,0
50,"Merry Go Round","JaneDear Girls",https://www.youtube.com/watch?v=2HkbIy77nYw,"Redneck Angel",16,2,Left,https://www.youtube.com/watch?v=FxYY_GvjawM,https://www.copperknob.co.uk/stepsheets/redneck-angel-ID83248.aspx,"Cheri Litzenburg & Renae Filiou",False,0,0,0
51,Move,"Luke Bryan",https://www.youtube.com/watch?v=Y4YaG0LcwFo,"Move Like You Do",32,4,Left,https://www.youtube.com/watch?v=o3yeXsPyDZQ,https://www.copperknob.co.uk/stepsheets/move-like-you-do-ID108401.aspx,"Krista Rotondo",False,0,0,0
52,"Moves Like Jagger - Infinity","Maroon 5",https://www.youtube.com/watch?v=HYMDfMMD3fw,"Jagged Moves",32,4,Left,https://www.youtube.com/watch?v=-RDFVvSJWik,https://www.copperknob.co.uk/stepsheets/jagged-moves-aka-round-about-ID86291.aspx,"Amanda Andrews",False,0,0,0
119,"Moves Like Jagger - Westerner","Maroon 5",https://www.youtube.com/watch?v=HYMDfMMD3fw,"Bar Room Romeo",64,2,Left,https://www.youtube.com/watch?v=wu3y1yo2IAg,https://www.copperknob.co.uk/stepsheets/bar-room-romeo-ID64135.aspx,"Ron Holiday",False,0,0,0
171,"Music To My Eyes","Lady Gaga, Bradley Cooper",https://www.youtube.com/watch?v=ePFwJk_RNR4,"Music To My Eyes",48,2,Right,https://www.youtube.com/watch?v=vEtVUUx-3ho,https://www.copperknob.co.uk/stepsheets/music-to-my-eyes-ID129477.aspx,"Derek Steele & Simon Ward",False,0,0,0
165,"My Baby Thinks Shes A Train","The Deans Brothers",,"All Aboard!",32,4,Left,https://www.youtube.com/watch?v=lKBjnb-h-RY,https://www.copperknob.co.uk/stepsheets/all-aboard-ID65214.aspx,"Max Perry & Jo Thompson Szymanski",False,0,0,0
